restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
#Feeltheroll,Quick Bites,3.4,7,200,No,No,Fast Food,Bellandur,Bellandur,Average Rated
#L-81 Cafe,Quick Bites,3.9,48,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
#Refuel,Cafe,3.7,37,400,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,Average Rated
'@ Biryani Central,Casual Dining,2.7,135,550,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,Low Rated
'@ The Bbq,Casual Dining,2.8,40,700,Yes,No,"Bbq, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,Low Rated
'@99,"Takeaway, Delivery",3.4,37,200,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,Average Rated
'@Italy,Casual Dining,4.1,305,700,Yes,No,Italian,Banashankari,Kumaraswamy Layout,High Rated
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300,No,No,North Indian,Indiranagar,Old Airport Road,Low Rated
1000 B.C,Quick Bites,3.2,49,300,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
11 To 11 Express Biriyanis,Quick Bites,3.5,22,300,Yes,No,"Biryani, Kebab",Electronic City,Electronic City,Average Rated
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,High Rated
12Th Main - Grand Mercure,Fine Dining,4.1,353,2000,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,High Rated
1441 Pizzeria,Casual Dining,4.1,119,800,Yes,No,"Pizza, Salad",Basavanagudi,Jp Nagar,High Rated
1522 - The Pub,Pub,4.2,1731,1400,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,High Rated
154 Breakfast Club,Cafe,4.0,1509,900,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,High Rated
1722 Urban Bistro,Casual Dining,4.1,218,600,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
18+ Ice Cafe,Cafe,3.5,24,550,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,Average Rated
1947,Casual Dining,3.9,620,1000,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,Average Rated
1980S Games Cafe,Cafe,3.4,58,400,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,Average Rated
1992 Chats - Space,Quick Bites,3.7,33,200,Yes,No,Street Food,Malleshwaram,Rajajinagar,Average Rated
1Q1,"Casual Dining, Bar",4.3,595,2500,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,High Rated
1To3 Kitchen,Delivery,3.1,11,800,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,Average Rated
2 Statez,Casual Dining,3.7,209,600,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Average Rated
20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,1400,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,High Rated
20 Feet High,"Casual Dining, Bar",4.0,932,1000,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,High Rated
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000,No,No,Continental,Basavanagudi,Jayanagar,Average Rated
24 Carats - The Capitol,Casual Dining,3.1,46,1000,No,No,"Asian, Continental",Brigade Road,Cunningham Road,Average Rated
24 Hours Cake Delivery,Delivery,3.3,4,700,No,No,Bakery,Indiranagar,Old Airport Road,Average Rated
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800,No,No,Cafe,Electronic City,Electronic City,Average Rated
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,High Rated
24/7 Food Service,"Takeaway, Delivery",2.9,7,300,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Jp Nagar,Low Rated
24@43 - The Oterra,Fine Dining,4.1,268,3000,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City,High Rated
24Th Main,Casual Dining,4.1,1234,800,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,Jp Nagar,High Rated
29 Degrees North,Quick Bites,3.9,283,250,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,Average Rated
